STOREID|BARCODE
DEL0000001446|8901399058561
DEL0000001446|8901030349751
DEL0000001446|8910030349751
DEL0000001446|8906002432587
DEL0000001446|8906001055983
DEL0000001446|906850510001
DEL0000001446|8906007281980
DEL0000001446|9068051050028
DEL0000001446|8901242114307
DEL0000001446|8906006332683
DEL0000001446|8906007280969
DEL0000001446|8049063200105
DEL0000001446|8904063258441
DEL0000001446|90806825
DEL0000001446|465978465060
DEL0000001446|846597046560
DEL0000001446|9018030541254
DEL0000001446|8901030627095
DEL0000001446|9821088812043
DEL0000001446|8908004643013
DEL0000001446|8901035803720
DEL0000001446|8049063230027
DEL0000001446|8904063200730
DEL0000001446|8901030622007
DEL0000001446|890600105598
DEL0000001446|8901030591525
DEL0000001446|890163002917
DEL0000001446|8901063154049
DEL0000001446|908172513544
DEL0000001446|8901058843590
DEL0000001446|9018058438590
DEL0000001446|9081058847420
DEL0000001446|91058847420
DEL0000001446|8901063029170
DEL0000001446|846597650011
DEL0000001446|9014891103787
DEL0000001446|9801491103787
DEL0000001446|8904038109525
DEL0000001446|9087119251551
DEL0000001446|890403811178
DEL0000001446|8901719105982
DEL0000001446|8910030591242
DEL0000001446|8906006330726
DEL0000001446|8901719103889
DEL0000001446|9084063200136
DEL0000001446|890406320024
DEL0000001446|8904063230171
DEL0000001446|8904063200051
DEL0000001446|8906010080440
DEL0000001446|8908006436033
DEL0000001446|486975082933
DEL0000001446|8906001058151
DEL0000001446|8090565100028
DEL0000001446|8901030516320
DEL0000001446|8901396397380
DEL0000001446|9018300293610
DEL0000001446|8901901107293
DEL0000001446|8901036362840
DEL0000001446|9081071211147
DEL0000001446|8901190206185
DEL0000001446|8901030534966
DEL0000001446|8908000863408
DEL0000001446|8901595852118
DEL0000001446|890800086340
DEL0000001446|8908001935043
DEL0000001446|8901063162143
DEL0000001446|9018063142015
DEL0000001446|8901063142015
DEL0000001446|8490063230140
DEL0000001446|8908003634005
DEL0000001446|8901088017381
UPR0000002773|8901030412783
UPR0000002773|8904124108098
UPR0000002773|8901491503013
DEL0000001446|901805884410
DEL0000001446|8901508127485
DEL0000001446|890105827458
DEL0000001446|8910058127485
DEL0000001446|9068072800200
DEL0000001446|8901063001022
DEL0000001446|9048063230010
DEL0000001446|8901030637926
DEL0000001446|9018058842746
DEL0000001446|8904036230072
DEL0000001446|8901030577673
DEL0000001446|8903114114419
DEL0000001446|8901030341663
DEL0000001446|9081030577673
DEL0000001446|8901396179009
DEL0000001446|8901030516320
UPR0000002773|4902430725705
DEL0000001446|8906000610336
DEL0000001446|8901063092280
DEL0000001446|8901725135423
DEL0000001446|8901719255144
DEL0000001446|8901719255144
DEL0000001446|8901603028166
DEL0000001446|8901719101885
DEL0000001446|8901719101885
DEL0000001446|8904063200198
DEL0000001446|8901277021564
DEL0000001446|8901030215902
DEL0000001446|8901190107239
DEL0000001446|8901361300889
DEL0000001446|8901190101732
DEL0000001446|9081190101732
DEL0000001446|8015912548108
DEL0000001446|8904063200204
DEL0000001446|8901052000807
DEL0000001446|9018030564185
DEL0000001446|8901396151333
DEL0000001446|8901030509995
DEL0000001446|890103054493
DEL0000001446|9018030544293
DEL0000001446|9081300544293
DEL0000001446|890030293197
DEL0000001446|8901138509224
DEL0000001446|8019030577673
DEL0000001446|8901030577680
DEL0000001446|8901058842746
DEL0000001446|8906002000494
DEL0000001446|8901088090896
DEL0000001446|8901719101663
DEL0000001446|8901719100710
DEL0000001446|8019972061056
DEL0000001446|8901090328727
DEL0000001446|8904063200044
DEL0000001446|8901719101663
DEL0000001446|8910719101663
DEL0000001446|8901207017766
DEL0000001446|8908003542034
DEL0000001446|8906007280037
DEL0000001446|846597026012
DEL0000001446|8901396397380
DEL0000001446|8902167000126
DEL0000001446|8901030594489
DEL0000001446|8908003634005
UPR0000002773|8904063255280
DEL0000001446|8908003640305
DEL0000001446|890605510002
DEL0000001446|8906055100011
UPR0000002773|8904063257932
UPR0000002773|8901030308994
UPR0000002773|8901396351221
DEL0000001446|8901058842821
DEL0000001446|8901033150381
DEL0000001446|846597026029
DEL0000001446|846597083930
UPR0000002773|8904063253217
UPR0000002773|8901719106637
UPR0000002773|8904063200532
UPR0000002773|8901499008169
UPR0000002773|8901063142015
UPR0000002773|8901058842722
UPR0000002773|8906001383932
DEL0000001446|8901058845396
DEL0000001446|8901058845396
DEL0000001446|9018120143115
DEL0000001446|8901120143115
DEL0000001446|8901747002093
DEL0000001446|8049038111085
DEL0000001446|9081207004391
DEL0000001446|8901719102820
DEL0000001446|908179112800
DEL0000001446|8901058847505
DEL0000001446|8901058847505
DEL0000001446|8901720626355
DEL0000001446|846597046577
DEL0000001446|42289197
DEL0000001446|8904063230119
DEL0000001446|8901396521200
DEL0000001446|8901190107239
DEL0000001446|8906004970023
DEL0000001446|8906001504016
DEL0000001446|8901719108471
DEL0000001446|8904063200181
DEL0000001446|8901764012501
DEL0000001446|8901063094154
DEL0000001446|8908001935043
DEL0000001446|8901063093287
DEL0000001446|8901719258626
DEL0000001446|8901719258626
DEL0000001446|8904062300044
DEL0000001446|8901063023901
DEL0000001446|9028579107017
DEL0000001446|8904063251930
DEL0000001446|9048032565280
DEL0000001446|8901580843590
DEL0000001446|9081058843509
DEL0000001446|8901721327958
DEL0000001446|8017925132798
DEL0000001446|9018071211307
DEL0000001446|801905814310
DEL0000001446|8901260620011
DEL0000001446|8901571006854
DEL0000001446|8901246002075
DEL0000001446|8901088967099
DEL0000001446|8904156501287
DEL0000001446|8901558629962
UPR0000002773|8901764012808
UPR0000002773|22122016
UPR0000002773|22122016
UPR0000002773|23122016
UPR0000002773|23122016
DEL0000001446|8904038110781
DEL0000001446|908406325147
DEL0000001446|9018063362840
DEL0000001446|9018030456381
DEL0000001446|8901030456381
DEL0000001446|8901023007408
DEL0000001446|8901190101718
DEL0000001446|9021888812067
DEL0000001446|8901684602646
DEL0000001446|9081684602466
DEL0000001446|9081030584442
DEL0000001446|8906006332683
DEL0000001446|8019030616259
DEL0000001446|9084043901015
DEL0000001446|8906055100011
DEL0000001446|9017819103964
DEL0000001446|9081972058636
DEL0000001446|9048063200105
DEL0000001446|8901233022659
UPR0000002773|8901725134136
DEL0000001446|8901262030069
DEL0000001446|8901300439629
DEL0000001446|890126201001
DEL0000001446|4902430678896
DEL0000001446|4902430678896
DEL0000001446|8901361300889
DEL0000001446|890136130089
DEL0000001446|8901450004599
UPR0000002773|8901262260107
DEL0000001446|8901791101397
DEL0000001446|468597003556
DEL0000001446|8904063251930
DEL0000001446|8901300591525
DEL0000001446|906801380819
DEL0000001446|8901719100710
DEL0000001446|8904063230171
DEL0000001446|8940038109693
DEL0000001446|9084063230119
DEL0000001446|8906002342587
DEL0000001446|8906049700023
DEL0000001446|8906009740023
DEL0000001446|8901052010615
DEL0000001446|8019030559792
DEL0000001446|9010308559792
DEL0000001446|9801030559792
DEL0000001446|9081035059792
DEL0000001446|8901058842746
DEL0000001446|9081063025189
DEL0000001446|8901063139206
DEL0000001446|6319306
DEL0000001446|8901396476047
DEL0000001446|890130055627
DEL0000001446|8190030584442
DEL0000001446|8901030584442
DEL0000001446|8901030468094
DEL0000001446|9042430679701
DEL0000001446|8902188812043
DEL0000001446|9018012191323
DEL0000001446|8901595863013
UPR0000002773|8906002343782
DEL0000001446|8901192210012
DEL0000001446|90803433
DEL0000001446|90843033
DEL0000001446|89004333
DEL0000001446|90803433
DEL0000001446|9018047001024
DEL0000001446|8904076025465
DEL0000001446|845976026012
DEL0000001446|8906009803203
DEL0000001446|8908004643020
DEL0000001446|8908000258129
DEL0000001446|8908003542034
DEL0000001446|8901030594489
DEL0000001446|8901719703058
DEL0000001446|8901719703058
DEL0000001446|8906055100028
DEL0000001446|8901012165737
DEL0000001446|8904063125930
DEL0000001446|890406251390
DEL0000001446|8901725134181
DEL0000001446|9017285134181
DEL0000001446|8906021879224
DEL0000001446|8901063362888
DEL0000001446|8901725134143
