BARCODE|CREATED_STAMP
8901399058561|2017-01-01 11:55:38.916
8901030349751|2017-01-01 11:55:45.234
8910030349751|2017-01-01 11:55:45.562
8906002432587|2017-01-01 12:05:02.173
8906001055983|2017-01-01 12:05:12.017
906850510001|2017-01-01 12:05:16.619
8906007281980|2017-01-01 13:02:36.693
9068051050028|2017-01-01 13:02:39.548
8901242114307|2017-01-01 13:02:43.869
8906006332683|2017-01-01 13:02:57.722
8906007280969|2017-01-01 13:03:12.557
8049063200105|2017-01-01 13:04:46.539
8904063258441|2017-01-01 13:04:52.498
90806825|2017-01-01 13:04:56.881
465978465060|2017-01-01 13:56:30.120
846597046560|2017-01-01 13:58:08.563
9018030541254|2017-01-01 13:58:12.963
8901030627095|2017-01-01 13:58:16.847
9821088812043|2017-01-01 13:58:19.905
8908004643013|2017-01-01 13:58:22.853
8901035803720|2017-01-01 13:58:58.339
8049063230027|2017-01-01 14:00:38.306
8904063200730|2017-01-01 14:00:43.407
8901030622007|2017-01-01 14:00:45.981
890600105598|2017-01-01 14:00:50.286
8901030591525|2017-01-01 14:00:53.219
890163002917|2017-01-01 14:00:57.207
8901063154049|2017-01-01 14:01:03.167
908172513544|2017-01-01 14:01:07.753
8901058843590|2017-01-01 14:01:16.832
9018058438590|2017-01-01 14:01:17.097
9081058847420|2017-01-01 14:01:21.434
91058847420|2017-01-01 14:01:21.637
8901063029170|2017-01-01 14:01:26.707
846597650011|2017-01-01 14:35:53.394
9014891103787|2017-01-01 14:37:27.310
9801491103787|2017-01-01 14:37:27.529
8904038109525|2017-01-01 17:34:28.374
9087119251551|2017-01-01 17:34:32.836
890403811178|2017-01-01 17:40:50.611
8901719105982|2017-01-01 17:40:55.900
8910030591242|2017-01-01 17:40:59.191
8906006330726|2017-01-01 19:06:08.156
8901719103889|2017-01-01 19:06:37.266
9084063200136|2017-01-01 19:06:40.152
890406320024|2017-01-01 19:06:43.069
8904063230171|2017-01-01 19:06:48.779
8904063200051|2017-01-01 19:06:51.587
8906010080440|2017-01-01 19:06:53.584
8908006436033|2017-01-01 19:06:55.690
486975082933|2017-01-01 19:06:57.936
8906001058151|2017-01-01 19:07:01.852
8090565100028|2017-01-01 19:07:05.986
8901030516320|2017-01-01 19:07:11.290
8901396397380|2017-01-01 19:07:27.217
9018300293610|2017-01-01 19:07:30.478
8901901107293|2017-01-01 19:07:34.596
8901036362840|2017-01-01 19:07:42.131
9081071211147|2017-01-01 19:07:45.812
8901190206185|2017-01-01 19:07:52.708
8901030534966|2017-01-01 19:07:55.968
8908000863408|2017-01-01 19:09:23.847
8901595852118|2017-01-01 19:15:40.479
890800086340|2017-01-01 19:26:45.861
8908001935043|2017-01-01 19:26:48.763
8901063162143|2017-01-01 19:35:55.409
9018063142015|2017-01-01 19:35:57.639
8901063142015|2017-01-01 19:35:57.998
8490063230140|2017-01-01 19:36:12.101
8908003634005|2017-01-01 19:37:04.077
8901088017381|2017-01-01 19:41:03.836
8901030412783|2017-01-02 09:04:38.020
8904124108098|2017-01-02 12:28:10.532
8901491503013|2017-01-02 12:28:58.208
901805884410|2017-01-01 11:27:12.755
8901508127485|2017-01-01 11:27:15.969
890105827458|2017-01-01 11:27:16.374
8910058127485|2017-01-01 11:27:16.889
9068072800200|2017-01-01 11:28:27.452
8901063001022|2017-01-01 11:28:36.812
9048063230010|2017-01-01 11:28:39.854
8901030637926|2017-01-01 11:28:43.302
